2-level
homogeneous many small
&& size_4000/random_tree_1 21109.826776 44149
&& size_4000/random_tree_10 42927.987822 113426
&& size_4000/random_tree_2 44617.859956 95534
&& size_4000/random_tree_3 43577.828840 115336
&& size_4000/random_tree_4 36459.937301 72323
&& size_4000/random_tree_5 31290.648993 157939
&& size_4000/random_tree_6 36805.573232 196678
&& size_4000/random_tree_7 22116.092757 254803
&& size_4000/random_tree_8 27145.256567 200545
&& size_4000/random_tree_9 19351.745565 92155
&& size_50000/random_tree_1 50461.484453 13170281
&& size_50000/random_tree_2 47054.384082 40667891
&& size_50000/random_tree_3 61152.855231 14372465
&& size_50000/random_tree_4 71073.352653 10352030
&& size_50000/random_tree_5 26151.754867 2006762
&& size_50000/random_tree_5 26151.754867 2025301
/work/kulagins/tree-scheduler/real_Trees/random_trees/20_children
blabla
&& size_10000/random_tree_1 8650.175052 290937
&& size_10000/random_tree_2 4739.142335 146341
&& size_10000/random_tree_3 8312.221120 353725
&& size_15000/random_tree_1 5907.498489 367360
&& size_15000/random_tree_2 6332.616574 318364
&& size_15000/random_tree_3 4583.003652 303121
&& size_20000/random_tree_1 10847.896716 521727
&& size_20000/random_tree_2 12094.859017 655140
&& size_20000/random_tree_3 12295.758053 448296
&& size_25000/random_tree_1 5052.187122 974305
&& size_25000/random_tree_2 17927.031396 2127378
&& size_25000/random_tree_3 5225.437465 877379
&& size_5000/random_tree_1 5582.392243 54099
&& size_5000/random_tree_2 6672.672804 77864
&& size_5000/random_tree_3 3838.085817 47046
&& size_5000/random_tree_3 3838.085817 47019
/work/kulagins/tree-scheduler/real_Trees/random_trees/all_small
blabla
&& size_10000/random_tree_1 548.756368 194131
&& size_10000/random_tree_10 437.009173 204157
&& size_10000/random_tree_2 582.903701 191565
&& size_10000/random_tree_3 451.318159 212708
&& size_10000/random_tree_4 721.833985 185756
&& size_10000/random_tree_5 951.960065 578342
&& size_10000/random_tree_6 411.676250 219384
&& size_10000/random_tree_7 833.913247 160208
&& size_10000/random_tree_8 377.791907 233392
&& size_10000/random_tree_9 774.904871 176572
&& size_2000/random_tree_1 365.289356 40746
&& size_2000/random_tree_10 471.618491 37031
&& size_2000/random_tree_2 405.625408 33849
&& size_2000/random_tree_3 518.059676 19395
&& size_2000/random_tree_4 216.332816 27850
&& size_2000/random_tree_5 468.064994 12615
&& size_2000/random_tree_6 411.132619 44889
&& size_2000/random_tree_7 578.157237 22019
&& size_2000/random_tree_8 551.843726 18162
&& size_2000/random_tree_9 289.033465 42793
&& size_20000/random_tree_1 723.227488 512136
&& size_20000/random_tree_2 795.785895 727562
&& size_20000/random_tree_3 788.645009 612857
&& size_20000/random_tree_4 1072.559057 715847
&& size_20000/random_tree_5 585.006359 521095
&& size_30000/random_tree_1 1004.618102 1157637
&& size_30000/random_tree_2 1403.200244 1352801
&& size_30000/random_tree_3 955.446226 1141035
&& size_30000/random_tree_4 1315.087037 1529345
&& size_30000/random_tree_5 1144.838929 1334550
&& size_4000/random_tree_1 388.316612 181491
&& size_4000/random_tree_10 596.024084 46765
&& size_4000/random_tree_2 461.171340 75014
&& size_4000/random_tree_3 650.310661 175575
&& size_4000/random_tree_4 681.699277 59427
&& size_4000/random_tree_5 640.941586 139383
&& size_4000/random_tree_6 615.008596 169841
&& size_4000/random_tree_7 456.804497 43048
&& size_4000/random_tree_8 276.462416 49426
&& size_4000/random_tree_9 524.856602 65723
&& size_50000/random_tree_1 1247.641865 3279745
&& size_50000/random_tree_2 1231.454235 2768230
&& size_50000/random_tree_3 1314.081489 3212093
&& size_50000/random_tree_4 1377.299855 3277467
&& size_50000/random_tree_5 867.206547 3389879
&& size_50000/random_tree_5 867.206547 3393309
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_node_weights
blabla
&& size_10000/random_tree_1 9501.659333 519194
&& size_10000/random_tree_10 9145.170261 169220
&& size_10000/random_tree_2 4867.454811 228215
&& size_10000/random_tree_3 6113.535952 205495
&& size_10000/random_tree_4 7315.672612 202758
&& size_10000/random_tree_5 9481.582969 332292
&& size_10000/random_tree_6 9497.909865 1280911
&& size_10000/random_tree_7 6569.871646 253331
&& size_10000/random_tree_8 5929.752462 176636
&& size_10000/random_tree_9 8721.106556 360282
&& size_2000/random_tree_1 5620.140335 47165
&& size_2000/random_tree_10 2442.924941 61670
&& size_2000/random_tree_2 3921.083731 117864
&& size_2000/random_tree_3 2018.824017 34210
&& size_2000/random_tree_4 2993.911446 38046
&& size_2000/random_tree_5 2600.433989 66212
&& size_2000/random_tree_6 4698.679381 30132
&& size_2000/random_tree_7 2060.926194 109032
&& size_2000/random_tree_8 3423.944706 39281
&& size_2000/random_tree_9 5804.890914 15788
&& size_20000/random_tree_1 11060.296200 796558
&& size_20000/random_tree_2 6608.737083 687984
&& size_20000/random_tree_3 10904.006843 741347
&& size_20000/random_tree_4 12402.172908 814893
&& size_20000/random_tree_5 9159.721351 570446
&& size_30000/random_tree_1 6424.497261 1569288
&& size_30000/random_tree_2 5262.682808 1999178
&& size_30000/random_tree_3 10150.928947 1706475
&& size_30000/random_tree_4 10926.733392 1628212
&& size_30000/random_tree_5 12808.115182 1248417
&& size_4000/random_tree_1 5940.017374 124422
&& size_4000/random_tree_10 4342.477913 107670
&& size_4000/random_tree_2 4496.114340 319524
&& size_4000/random_tree_3 4773.200890 98803
&& size_4000/random_tree_4 4347.968474 328801
&& size_4000/random_tree_5 5451.737515 125076
&& size_4000/random_tree_6 4561.594314 240594
&& size_4000/random_tree_7 3451.578881 82460
&& size_4000/random_tree_8 6715.504885 61680
&& size_4000/random_tree_9 4520.027349 81606
&& size_50000/random_tree_1 15104.031053 3138413
&& size_50000/random_tree_2 11318.281311 3209922
&& size_50000/random_tree_3 10392.250493 3893343
&& size_50000/random_tree_4 12896.866177 3920547
&& size_50000/random_tree_5 8791.367572 4273109
&& size_50000/random_tree_5 8791.367572 4278541
/work/kulagins/tree-scheduler/real_Trees/random_trees/3_children
blabla
&& size_10000/random_tree_1 5349.016500 330674
&& size_10000/random_tree_2 17445.893587 222476
&& size_10000/random_tree_3 14578.009711 412324
&& size_15/random_tree_1 2245.123210 54
&& size_15000/random_tree_1 17952.855099 486680
&& size_15000/random_tree_2 21305.060116 381129
&& size_15000/random_tree_3 29087.740542 616581
&& size_20/random_tree_1 4253.203671 69
&& size_20000/random_tree_1 20803.713227 717536
&& size_20000/random_tree_2 14539.073892 622158
&& size_20000/random_tree_3 15990.548402 847548
&& size_25000/random_tree_1 32455.755871 1912480
&& size_25000/random_tree_2 19302.914618 1256556
&& size_25000/random_tree_3 18294.746616 1167177
&& size_5000/random_tree_1 5412.573943 90831
&& size_5000/random_tree_2 6914.888733 90092
&& size_5000/random_tree_3 4297.346526 175841
&& size_5000/random_tree_3 4297.346526 175822
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_edge_weights
blabla
&& size_10000/random_tree_1 79461.669732 3947698
&& size_10000/random_tree_10 52727.001199 3705516
&& size_10000/random_tree_2 100956.662615 3886971
&& size_10000/random_tree_3 78449.846845 3888106
&& size_10000/random_tree_4 88617.438158 3910645
&& size_10000/random_tree_5 79227.544513 3735678
&& size_10000/random_tree_6 68979.397737 3834467
&& size_10000/random_tree_7 55955.420831 3775578
&& size_10000/random_tree_8 67498.194020 3717376
&& size_10000/random_tree_9 93151.943560 3864660
&& size_2000/random_tree_1 18031.567080 162060
&& size_2000/random_tree_10 16841.662930 148694
&& size_2000/random_tree_2 16172.684381 147111
&& size_2000/random_tree_3 16165.084921 156930
&& size_2000/random_tree_4 17725.206795 154056
&& size_2000/random_tree_5 22280.157139 162269
&& size_2000/random_tree_6 20038.022009 158672
&& size_2000/random_tree_7 16836.715470 149410
&& size_2000/random_tree_8 17031.161641 147392
&& size_2000/random_tree_9 23150.139244 160517
&& size_20000/random_tree_1 175685.775135 15484517
&& size_20000/random_tree_2 123923.793936 15591886
&& size_20000/random_tree_3 163002.724383 16016057
&& size_20000/random_tree_4 159809.700534 15594842
&& size_20000/random_tree_5 110119.337491 15306106
&& size_30000/random_tree_1 196896.243546 36541184
&& size_30000/random_tree_2 147966.880365 36337554
&& size_30000/random_tree_3 203795.508807 35927167
&& size_30000/random_tree_4 212565.150729 35961086
&& size_30000/random_tree_5 209095.939353 36623225
&& size_4000/random_tree_1 35820.957915 614334
&& size_4000/random_tree_10 56946.694880 650008
&& size_4000/random_tree_2 39253.977903 610597
&& size_4000/random_tree_3 30207.055307 572886
&& size_4000/random_tree_4 36055.733348 628115
&& size_4000/random_tree_5 34496.902552 588905
&& size_4000/random_tree_6 38608.740118 605872
&& size_4000/random_tree_7 26601.032626 610518
&& size_4000/random_tree_8 34701.959269 610254
&& size_4000/random_tree_9 35163.355124 589719
&& size_50000/random_tree_1 248557.173501 104260604
&& size_50000/random_tree_2 446410.833259 106550107
&& size_50000/random_tree_3 489191.979028 106823209
&& size_50000/random_tree_4 482700.613738 108118340
&& size_50000/random_tree_5 335246.777951 106526998
&& size_50000/random_tree_5 335246.777951 107694472
many small
/work/kulagins/tree-scheduler/real_Trees/random_trees/10_children
blabla
&& size_10000/random_tree_1 25020.796696 4274667
&& size_10000/random_tree_2 29338.564529 656953
&& size_10000/random_tree_3 7548.944858 540424
&& size_15000/random_tree_1 48731.526674 1091486
&& size_15000/random_tree_2 20423.706747 998532
&& size_15000/random_tree_3 34513.198461 872911
&& size_20000/random_tree_1 17754.788202 1703611
&& size_20000/random_tree_2 27858.409548 2321165
&& size_20000/random_tree_3 15202.703522 1214127
&& size_25000/random_tree_1 16380.851059 3430625
&& size_25000/random_tree_2 19511.489440 2338590
&& size_25000/random_tree_3 35781.673937 2472801
&& size_5000/random_tree_1 25222.427429 661761
&& size_5000/random_tree_2 15461.449385 375360
&& size_5000/random_tree_3 21621.738656 719493
&& size_5000/random_tree_3 21621.738656 719558
/work/kulagins/tree-scheduler/real_Trees/random_trees/all_large
blabla
&& size_10000/random_tree_1 82745.545250 658553
&& size_10000/random_tree_10 130597.463272 827184
&& size_10000/random_tree_2 250605.646094 738955
&& size_10000/random_tree_3 205841.757697 769871
&& size_10000/random_tree_4 157259.791022 634627
&& size_10000/random_tree_5 148363.234747 872882
&& size_10000/random_tree_6 147552.997592 610669
&& size_10000/random_tree_7 212734.294073 659881
&& size_10000/random_tree_8 153742.393617 614948
&& size_10000/random_tree_9 159110.701777 578285
&& size_2000/random_tree_1 119683.874200 69632
&& size_2000/random_tree_10 62898.651275 27080
&& size_2000/random_tree_2 70128.747163 29941
&& size_2000/random_tree_3 97943.068849 29910
&& size_2000/random_tree_4 223237.580089 34285
&& size_2000/random_tree_5 47287.710782 32048
&& size_2000/random_tree_6 271821.337983 29622
&& size_2000/random_tree_7 222502.709343 113046
&& size_2000/random_tree_8 69036.439333 34327
&& size_2000/random_tree_9 209000.484611 36657
&& size_20000/random_tree_1 219260.147873 2207583
&& size_20000/random_tree_2 213476.003498 2687381
&& size_20000/random_tree_3 277652.376251 3042423
&& size_20000/random_tree_4 142588.354251 2716321
&& size_20000/random_tree_5 199311.943849 3051044
&& size_30000/random_tree_1 332049.627876 5204046
&& size_30000/random_tree_2 226223.886131 6059122
&& size_30000/random_tree_3 269749.428166 6471521
&& size_30000/random_tree_4 220765.062281 5167537
&& size_30000/random_tree_5 283922.413966 7306375
&& size_4000/random_tree_1 239333.985395 144716
&& size_4000/random_tree_10 208422.019513 104214
&& size_4000/random_tree_2 145574.579024 121097
&& size_4000/random_tree_3 100958.618402 114849
&& size_4000/random_tree_4 170101.112999 129960
&& size_4000/random_tree_5 74859.137129 153150
&& size_4000/random_tree_6 248115.021441 152548
&& size_4000/random_tree_7 102573.730156 96345
&& size_4000/random_tree_8 120411.571945 104938
&& size_4000/random_tree_9 143531.849554 162953
&& size_50000/random_tree_1 289081.103531 16898755
&& size_50000/random_tree_2 304520.909934 17753857
&& size_50000/random_tree_3 198906.258857 15723596
&& size_50000/random_tree_4 356463.089381 16529237
&& size_50000/random_tree_5 332590.285725 16803961
&& size_50000/random_tree_5 332590.285725 16771880
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_makespan_weights
blabla
&& size_10000/random_tree_1 88315.017024 1182591
&& size_10000/random_tree_10 280137.389895 1552391
&& size_10000/random_tree_2 236109.663607 1606298
&& size_10000/random_tree_3 262250.106706 4281037
&& size_10000/random_tree_4 139999.324297 1236907
&& size_10000/random_tree_5 78452.538200 2227676
&& size_10000/random_tree_6 56355.498352 4347421
&& size_10000/random_tree_7 476837.924897 1453496
&& size_10000/random_tree_8 200268.624191 5543903
&& size_10000/random_tree_9 223503.252303 2283374
&& size_2000/random_tree_1 324709.327374 155800
&& size_2000/random_tree_10 71482.533678 70004
&& size_2000/random_tree_2 91885.950269 92205
&& size_2000/random_tree_3 181788.568540 161943
&& size_2000/random_tree_4 156492.183164 320078
&& size_2000/random_tree_5 250254.782819 119547
&& size_2000/random_tree_6 163074.684892 138994
&& size_2000/random_tree_7 281172.942624 130680
&& size_2000/random_tree_8 180878.563456 101445
&& size_2000/random_tree_9 63125.884641 79999
&& size_20000/random_tree_1 153137.542465 13172376
&& size_20000/random_tree_2 172432.796149 11579801
&& size_20000/random_tree_3 82088.536483 58919327
&& size_20000/random_tree_4 86473.723862 5109892
&& size_20000/random_tree_5 101396.163428 14250297
&& size_30000/random_tree_1 225993.502579 30831318
&& size_30000/random_tree_2 297327.990473 50793265
&& size_30000/random_tree_3 80742.083497 8331046
&& size_30000/random_tree_4 94764.023924 33771109
&& size_30000/random_tree_5 222557.039516 57829646
&& size_4000/random_tree_1 98117.186394 131479
&& size_4000/random_tree_10 165513.209977 357052
&& size_4000/random_tree_2 258198.215367 502867
&& size_4000/random_tree_3 127211.039531 385974
&& size_4000/random_tree_4 205335.735866 403426
&& size_4000/random_tree_5 178161.917002 775520
&& size_4000/random_tree_6 176744.876108 880939
&& size_4000/random_tree_7 101836.059850 648148
&& size_4000/random_tree_8 102163.610176 330385
&& size_4000/random_tree_9 69676.569200 258870
&& size_50000/random_tree_1 329382.124994 111978835
&& size_50000/random_tree_2 124266.595297 206365613
&& size_50000/random_tree_3 232267.173514 68000055
&& size_50000/random_tree_4 245726.920045 23969204
&& size_50000/random_tree_5 26151.754867 1975823
&& size_50000/random_tree_5 26151.754867 1976900
/work/kulagins/tree-scheduler/real_Trees/random_trees/20_children
blabla
&& size_10000/random_tree_1 16719.824303 1471412
&& size_10000/random_tree_2 13045.230508 557061
&& size_10000/random_tree_3 19428.026747 1867102
&& size_15000/random_tree_1 10645.359659 1215093
&& size_15000/random_tree_2 16328.576044 1258807
&& size_15000/random_tree_3 7360.176580 1079385
&& size_20000/random_tree_1 36163.098818 1750079
&& size_20000/random_tree_2 40624.228219 2247963
&& size_20000/random_tree_3 34570.676562 1944285
&& size_25000/random_tree_1 7454.786646 2543745
&& size_25000/random_tree_2 26625.912631 2683607
&& size_25000/random_tree_3 12517.508575 2123466
&& size_5000/random_tree_1 17430.361349 234290
&& size_5000/random_tree_2 22218.583059 588297
&& size_5000/random_tree_3 9593.207458 230624
&& size_5000/random_tree_3 9593.207458 230980
/work/kulagins/tree-scheduler/real_Trees/random_trees/all_small
blabla
&& size_10000/random_tree_1 1577.014588 323429
&& size_10000/random_tree_10 437.009173 204242
&& size_10000/random_tree_2 1169.639568 368089
&& size_10000/random_tree_3 885.715587 391017
&& size_10000/random_tree_4 2172.455398 300933
&& size_10000/random_tree_5 2242.704168 2011180
&& size_10000/random_tree_6 1029.901227 381655
&& size_10000/random_tree_7 833.913247 160084
&& size_10000/random_tree_8 942.984496 315633
&& size_10000/random_tree_9 1626.557476 332976
&& size_2000/random_tree_1 1151.583305 72310
&& size_2000/random_tree_10 1216.059533 99748
&& size_2000/random_tree_2 1603.766352 65317
&& size_2000/random_tree_3 2541.326486 54052
&& size_2000/random_tree_4 322.623369 51179
&& size_2000/random_tree_5 1144.016026 36596
&& size_2000/random_tree_6 995.750841 71013
&& size_2000/random_tree_7 1945.453033 69782
&& size_2000/random_tree_8 2246.392457 128388
&& size_2000/random_tree_9 1237.227114 116183
&& size_20000/random_tree_1 1264.999521 720650
&& size_20000/random_tree_2 1308.412112 1288305
&& size_20000/random_tree_3 788.645009 612930
&& size_20000/random_tree_4 2193.262082 1085320
&& size_20000/random_tree_5 904.497338 632140
&& size_30000/random_tree_1 2354.065611 1702451
&& size_30000/random_tree_2 1403.200244 1361345
&& size_30000/random_tree_3 1442.358105 1762959
&& size_30000/random_tree_4 2565.055623 2518272
&& size_30000/random_tree_5 3236.915599 2036806
&& size_4000/random_tree_1 1457.895384 505669
&& size_4000/random_tree_10 972.195693 109475
&& size_4000/random_tree_2 1239.874297 350948
&& size_4000/random_tree_3 1439.326063 268970
&& size_4000/random_tree_4 3098.577710 218790
&& size_4000/random_tree_5 2299.358049 414992
&& size_4000/random_tree_6 1803.094346 328738
&& size_4000/random_tree_7 456.804497 43235
&& size_4000/random_tree_8 614.177039 83472
&& size_4000/random_tree_9 524.856602 66111
&& size_50000/random_tree_1 2119.699474 5421544
&& size_50000/random_tree_2 2253.329307 4671211
&& size_50000/random_tree_3 2562.811626 5232890
&& size_50000/random_tree_4 2896.705845 5594453
&& size_50000/random_tree_5 995.524630 4916640
&& size_50000/random_tree_5 995.524630 4914560
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_node_weights
blabla
&& size_10000/random_tree_1 21742.080100 1483178
&& size_10000/random_tree_10 27618.074801 1089631
&& size_10000/random_tree_2 10102.761426 393051
&& size_10000/random_tree_3 18736.803674 343039
&& size_10000/random_tree_4 7315.672612 201934
&& size_10000/random_tree_5 39340.100125 1899795
&& size_10000/random_tree_6 24771.379843 3739382
&& size_10000/random_tree_7 10744.823683 337790
&& size_10000/random_tree_8 20109.864399 326628
&& size_10000/random_tree_9 24651.353896 1760828
&& size_2000/random_tree_1 28246.808774 177027
&& size_2000/random_tree_10 5143.838361 93400
&& size_2000/random_tree_2 12093.928335 185142
&& size_2000/random_tree_3 4582.805626 116326
&& size_2000/random_tree_4 6498.484542 64548
&& size_2000/random_tree_5 13232.562472 199029
&& size_2000/random_tree_6 15163.954524 108260
&& size_2000/random_tree_7 8618.052489 179961
&& size_2000/random_tree_8 10163.227772 107703
&& size_2000/random_tree_9 24543.903272 128872
&& size_20000/random_tree_1 17987.553751 1370101
&& size_20000/random_tree_2 6608.737083 689097
&& size_20000/random_tree_3 27623.308694 1530727
&& size_20000/random_tree_4 12402.172908 823705
&& size_20000/random_tree_5 9159.721351 571499
&& size_30000/random_tree_1 8618.540844 2469427
&& size_30000/random_tree_2 7531.554304 2589210
&& size_30000/random_tree_3 22952.813758 2546092
&& size_30000/random_tree_4 32567.458924 2337707
&& size_30000/random_tree_5 26065.857224 2082619
&& size_4000/random_tree_1 13141.340232 215885
&& size_4000/random_tree_10 11791.212191 387278
&& size_4000/random_tree_2 10848.770094 586282
&& size_4000/random_tree_3 17745.509824 521464
&& size_4000/random_tree_4 23473.646071 1583447
&& size_4000/random_tree_5 17778.686094 364569
&& size_4000/random_tree_6 9044.824164 332054
&& size_4000/random_tree_7 7017.642143 304435
&& size_4000/random_tree_8 10581.215760 157823
&& size_4000/random_tree_9 17709.725746 430667
&& size_50000/random_tree_1 48574.463287 7813745
&& size_50000/random_tree_2 18501.792173 4176406
&& size_50000/random_tree_3 14150.227970 7920089
&& size_50000/random_tree_4 25628.184076 6000088
&& size_50000/random_tree_5 12164.987070 6925877
&& size_50000/random_tree_5 12164.987070 6925342
/work/kulagins/tree-scheduler/real_Trees/random_trees/3_children
blabla
&& size_10000/random_tree_1 12120.355034 933049
&& size_10000/random_tree_2 31461.238391 820635
&& size_10000/random_tree_3 27016.450939 940972
&& size_15/random_tree_1 2245.123210 52
&& size_15000/random_tree_1 53471.968998 1663539
&& size_15000/random_tree_2 70261.758263 1370251
&& size_15000/random_tree_3 57335.066925 2042881
&& size_20/random_tree_1 4253.203671 67
&& size_20000/random_tree_1 36692.916247 3242027
&& size_20000/random_tree_2 20105.755964 2058859
&& size_20000/random_tree_3 27117.124698 2555477
&& size_25000/random_tree_1 52260.791509 13222602
&& size_25000/random_tree_2 34590.515524 4720318
&& size_25000/random_tree_3 36505.982576 3366535
&& size_5000/random_tree_1 21316.640006 1589850
&& size_5000/random_tree_2 25305.124944 822042
&& size_5000/random_tree_3 15950.193452 1644321
&& size_5000/random_tree_3 15950.193452 1644584
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_edge_weights
blabla
&& size_10000/random_tree_1 44127.181498 4113278
&& size_10000/random_tree_10 41414.831497 3783666
&& size_10000/random_tree_2 100956.662615 3887475
&& size_10000/random_tree_3 78449.846845 3888058
&& size_10000/random_tree_4 42196.915277 4095441
&& size_10000/random_tree_5 58495.218543 3814161
&& size_10000/random_tree_6 54288.115134 3878104
&& size_10000/random_tree_7 53370.331800 3809895
&& size_10000/random_tree_8 43372.130703 3866940
&& size_10000/random_tree_9 51398.318707 4061930
&& size_2000/random_tree_1 18031.567080 162225
&& size_2000/random_tree_10 12087.452452 157779
&& size_2000/random_tree_2 16172.684381 147308
&& size_2000/random_tree_3 16165.084921 157228
&& size_2000/random_tree_4 17725.206795 154109
&& size_2000/random_tree_5 14568.807416 176145
&& size_2000/random_tree_6 20038.022009 158665
&& size_2000/random_tree_7 15500.065798 157304
&& size_2000/random_tree_8 15847.762558 154441
&& size_2000/random_tree_9 23150.139244 160770
&& size_20000/random_tree_1 175685.775135 15572530
&& size_20000/random_tree_2 99736.287109 16382773
&& size_20000/random_tree_3 163002.724383 15965059
&& size_20000/random_tree_4 63402.329863 16049550
&& size_20000/random_tree_5 71072.536651 15521027
